date,HuoD,XiD,FaD
2011-11-17,0.757591053,0.98138268,0.802792889
2011-11-18,0.735146561,0.935095019,0.780232166
2011-11-21,0.729700431,0.946136119,0.777126473
2011-11-22,0.742172493,0.931697733,0.786999019
2011-11-23,0.748887466,0.931697733,0.790480793
2011-11-24,0.745558248,0.914711464,0.786469777
2011-11-25,0.736551856,0.916409944,0.780317663
2011-11-28,0.734182697,0.930848493,0.780487083
2011-11-29,0.742995555,0.945286715,0.789648902
2011-11-30,0.72525785,0.891779862,0.770022878
2011-12-01,0.725778652,0.936793499,0.772270453
2011-12-02,0.695276409,0.906643031,0.742159241
2011-12-05,0.674634608,0.883711429,0.720088422
2011-12-06,0.672498125,0.883286645,0.719118581
2011-12-07,0.675085825,0.887957955,0.719797837
2011-12-08,0.675401677,0.879464739,0.719477354
2011-12-09,0.680242741,0.866300376,0.722187033
2011-12-12,0.681945405,0.859505967,0.720118319
2011-12-13,0.66871606,0.815341569,0.705066648
2011-12-14,0.67739301,0.79198551,0.709808323
2011-12-15,0.685133277,0.74569785,0.711485743
2011-12-16,0.69486379,0.772026575,0.720998467
2011-12-19,0.698581707,0.759711452,0.724960703
2011-12-20,0.697858129,0.760560855,0.722690573
2011-12-21,0.68568561,0.729985604,0.71160376
2011-12-22,0.680137276,0.737629417,0.705911128
2011-12-23,0.698169632,0.738478657,0.720061147
2011-12-26,0.701727719,0.730410224,0.719798361
2011-12-27,0.68880281,0.704930738,0.706899326
2011-12-28,0.684395565,0.732108867,0.703337825
2011-12-29,0.689346988,0.724889674,0.707348317
2011-12-30,0.699036729,0.756314329,0.715186767
2012-01-04,0.693831972,0.731684084,0.707801503
2012-01-05,0.676706943,0.713848575,0.69218125
2012-01-06,0.681161484,0.738478657,0.696570447
2012-01-09,0.701011209,0.790286867,0.715215092
2012-01-10,0.714564016,0.790286867,0.731419137
2012-01-11,0.708386698,0.823834785,0.726667496
2012-01-12,0.706058855,0.834875885,0.727152679
2012-01-13,0.69095071,0.842944318,0.710966991
2012-01-16,0.681020682,0.789862247,0.70037218
2012-01-17,0.71089394,0.868848423,0.730229522
2012-01-18,0.69919547,0.903670201,0.71930059
2012-01-19,0.704982459,0.917259183,0.725535579
2012-01-20,0.707851762,0.904519441,0.728802824
2012-01-30,0.70163802,0.905368844,0.721491517
2012-01-31,0.7081687,0.910464774,0.727251813
2012-02-01,0.704969955,0.878190716,0.722768727
2012-02-02,0.711582181,0.918533043,0.730097867
2012-02-03,0.712870595,0.9147113,0.733823544
2012-02-06,0.712184528,0.906642867,0.733178907
2012-02-07,0.699747259,0.902396178,0.719067178
2012-02-08,0.712020894,0.992848236,0.733260208
2012-02-09,0.713099465,0.985204423,0.734020764
2012-02-10,0.709590848,0.974163324,0.73265491
2012-02-13,0.713622441,0.975012564,0.737746441
